Question,CarRelated
"How much fuel do I have left?", "Car related"
"What's the weather like today?", "Not car related"
"How do I connect my phone to Bluetooth?", "Car related"
"What's the capital of France?", "Not car related"
"What is the tire pressure?", "Car related"
"Play my favorite playlist.", "Car related"
"How far is the nearest gas station?", "Car related"
"What's the latest news?", "Not car related"
"Turn on the air conditioning.", "Car related"
"What's the traffic like on my route?", "Car related"
"Schedule a service appointment.", "Car related"
"What is the oil level?", "Car related"
"Enable cruise control.", "Car related"
"How do I adjust the seat?", "Car related"
"What's my average fuel consumption?", "Car related"
"How do I turn on the headlights?", "Car related"
"Can you defrost the windows?", "Car related"
"What's the engine temperature?", "Car related"
"How do I use the navigation system?", "Car related"
"Can you find the nearest charging station?", "Car related"
"What's the current speed limit?", "Car related"
"How do I use the windshield wipers?", "Car related"
"What's the battery level of my electric car?", "Car related"
"Can you set the temperature to 22 degrees?", "Car related"
"How do I fold the rear seats?", "Car related"
"Can you open the sunroof?", "Car related"
"What's my current speed?", "Car related"
"How do I check the tire tread depth?", "Car related"
"Can you find a parking spot nearby?", "Car related"
"How do I activate the rearview camera?", "Car related"
"What's the range of my electric car?", "Car related"
"How do I check the brake fluid level?", "Car related"
"Can you lock all the doors?", "Car related"
"How do I adjust the mirrors?", "Car related"
"Can you turn off the interior lights?", "Car related"
"What's the best route to avoid tolls?", "Car related"
"How do I change the cabin air filter?", "Car related"
"Can you lower the windows?", "Car related"
"What's the current mileage?", "Car related"
"How do I check the transmission fluid?", "Car related"
"Can you activate the seat warmers?", "Car related"
"What's the tire pressure in the front left tire?", "Car related"
"How do I switch to sport mode?", "Car related"
"Can you turn on the rear defogger?", "Car related"
"What's the status of the ABS system?", "Car related"
"How do I adjust the steering wheel?", "Car related"
"Can you mute the audio system?", "Car related"
"What's the recommended tire pressure?", "Car related"
"How do I open the trunk?", "Car related"
"Can you check the oil change history?", "Car related"
"What's the engine RPM?", "Car related"
"How do I use the cruise control?", "Car related"
"Can you turn off the hazard lights?", "Car related"
"How do I replace a flat tire?", "Car related"
"What's the oil change interval?", "Car related"
"How do I check the coolant level?", "Car related"
"Can you close all the windows?", "Car related"
"What's the distance to empty?", "Car related"
"How do I reset the trip meter?", "Car related"
"Can you set a destination in the GPS?", "Car related"
"What's the status of the airbags?", "Car related"
"How do I adjust the headrest?", "Car related"
"Can you play the next song?", "Car related"
"What's the recommended fuel type?", "Car related"
"How do I check the power steering fluid?", "Car related"
"Can you fold the side mirrors?", "Car related"
"What's the range in electric mode?", "Car related"
"How do I turn off the parking brake?", "Car related"
"Can you adjust the fan speed?", "Car related"
"What's the status of the traction control?", "Car related"
"How do I open the fuel door?", "Car related"
"Can you switch to FM radio?", "Car related"
"What's the estimated arrival time?", "Car related"
"How do I check the alignment?", "Car related"
"Can you unlock the doors?", "Car related"
"What's the status of the engine check light?", "Car related"
"How do I set the cruise control speed?", "Car related"
"Can you turn on the fog lights?", "Car related"
"What's the battery voltage?", "Car related"
"How do I turn off the alarm?", "Car related"
"Can you enable the child locks?", "Car related"
"What's the distance to the next service?", "Car related"
"How do I adjust the lumbar support?", "Car related"
"Can you open the glove compartment?", "Car related"
"What's the current weather on my route?", "Car related"
"How do I use the lane departure warning?", "Car related"
"Can you deactivate the auto start-stop?", "Car related"
"What's the engine displacement?", "Car related"
"How do I check the differential fluid?", "Car related"
"Can you turn on the heated steering wheel?", "Car related"
"What's the tire pressure in the rear right tire?", "Car related"
"How do I change the headlight bulb?", "Car related"
"Can you enable the sport mode?", "Car related"
"What's the fuel efficiency?", "Car related"
"How do I check the exhaust system?", "Car related"
"Can you play the radio?", "Car related"
"What's the torque of the engine?", "Car related"
"How do I turn on the side mirrors defrost?", "Car related"
"Can you close the sunroof?", "Car related"
"What's the air quality inside the car?", "Car related"
"How do I change the windshield washer fluid?", "Car related"
"Can you adjust the seat position?", "Car related"
"What's the current road condition?", "Car related"
"How do I activate the rear seatbelt reminder?", "Car related"
"Can you turn off the car alarm?", "Car related"
"What's the tire size?", "Car related"
"How do I use the car's Wi-Fi hotspot?", "Car related"
"Can you open the back hatch?", "Car related"
"What's the car's VIN number?", "Car related"
"How do I set the radio presets?", "Car related"
"Can you adjust the air suspension?", "Car related"
"What's the status of the stability control?", "Car related"
"How do I use the keyless entry?", "Car related"
"Can you switch to the auxiliary input?", "Car related"
"What's the brake pad thickness?", "Car related"
"How do I turn off the seatbelt warning?", "Car related"
"Can you find the nearest car wash?", "Car related"
"What's the horsepower of the engine?", "Car related"
"How do I adjust the volume?", "Car related"
"Can you turn on the reading lights?", "Car related"
"What's the recommended maintenance schedule?", "Car related"
"How do I activate the remote start?", "Car related"
"Can you close the back hatch?", "Car related"
"What's the ground clearance?", "Car related"
"How do I use the voice command system?", "Car related"
"Can you turn on the car's lights?", "Car related"
"What's the status of the engine coolant temperature?", "Car related"
"How do I use the automatic parallel parking?", "Car related"
"Can you check the vehicle recall status?", "Car related"
"What's the current fuel price in my area?", "Car related"
"How do I replace the air filter?", "Car related"
"Can you find the nearest coffee shop?", "Not car related"
"What's the towing capacity?", "Car related"
"How do I check the interior lights?", "Car related"
"Can you open the rear window?", "Car related"
"What's the engine type?", "Car related"
"How do I use the adaptive cruise control?", "Car related"
"Can you close the rear window?", "Car related"
"What's the status of the emission control system?", "Car related"
"How do I change the car's battery?", "Car related"
"Can you play my recent calls?", "Car related"
"What's the seating capacity?", "Car related"
"How do I check the engine oil level?", "Car related"
"Can you open the roof?", "Car related"
"What's the wheelbase?", "Car related"
"How do I use the infotainment system?", "Car related"
"Can you switch to the CD player?", "Car related"
"What's the fuel tank capacity?", "Car related"
"How do I activate the hazard lights?", "Car related"
"Can you adjust the climate control?", "Car related"
"What's the status of the power windows?", "Car related"
"How do I use the car's remote control?", "Car related"
"Can you find the nearest hospital?", "Car related"
"What's the maximum speed?", "Car related"
"How do I replace the brake pads?", "Car related"
"Can you switch to the navigation mode?", "Car related"
"What's the car's top speed?", "Car related"
"How do I activate the pedestrian detection?", "Car related"
"Can you open the driver's side window?", "Car related"
"What's the car's make and model?", "Car related"
"How do I check the tire pressure monitoring system?", "Car related"
"Can you turn on the windshield washer?", "Car related"
"What's the gross vehicle weight rating?", "Car related"
"How do I use the hands-free calling?", "Car related"
"Can you find the nearest mechanic?", "Car related"
"What's the car's color code?", "Car related"
"How do I replace the tail light?", "Car related"
"Can you enable the eco mode?", "Car related"
"What's the cargo volume?", "Car related"
"How do I use the rear entertainment system?", "Car related"
"Can you adjust the headrest position?", "Car related"
"What's the current battery health?", "Car related"
"How do I check the brake light?", "Car related"
"Can you play my voicemails?", "Car related"
"What's the status of the side airbags?", "Car related"
"How do I activate the panic alarm?", "Car related"
"Can you turn off the auto-lock feature?", "Car related"
"What's the wheel size?", "Car related"
"How do I replace the windshield wipers?", "Car related"
"Can you find the nearest ATM?", "Not car related"
"What's the tire rotation interval?", "Car related"
"How do I use the blind-spot monitoring?", "Car related"
"Can you adjust the steering wheel position?", "Car related"
"What's the fuel economy in city driving?", "Car related"
"How do I replace the fog lights?", "Car related"
"Can you enable the lane keep assist?", "Car related"
"What's the oil capacity?", "Car related"
"How do I use the rearview mirror dimming?", "Car related"
"Can you switch to the phone mode?", "Car related"
"What's the recommended oil type?", "Car related"
"How do I replace the cabin air filter?", "Car related"
"Can you open the passenger door?", "Car related"
"What's the engine torque?", "Car related"
"How do I use the traffic sign recognition?", "Car related"
"Can you find the nearest pharmacy?", "Not car related"
"What's the turning radius?", "Car related"
"How do I check the odometer?", "Car related"
"Can you enable the remote access?", "Car related"
"What's the engine power?", "Car related"
"How do I activate the parking assist?", "Car related"
"Can you close the passenger door?", "Car related"
"What's the car's curb weight?", "Car related"
"How do I replace the battery in the key fob?", "Car related"
"Can you adjust the driver's seat?", "Car related"
